Feature	Gain	Cover	Frequency
1	cg24880044	0.249137278325695	0.138485227682423	0.0714285714285714
2	cg01398859	0.141586382271033	0.0549891140458375	0.0357142857142857
3	cg13891659	0.127815640272648	0.12878390767944	0.107142857142857
4	cg05317714	0.0695325941363923	0.0933612795083373	0.0714285714285714
5	cg04705068	0.0627642747583223	0.0526034779213392	0.0357142857142857
6	cg00563090	0.0579640812540375	0.0487046438691704	0.0357142857142857
7	cg07356515	0.0422903472709512	0.0366653767305609	0.0357142857142857
8	cg19320294	0.0365800497011424	0.053409312155199	0.0357142857142857
9	cg22153994	0.0332755123096869	0.0393737001555334	0.0357142857142857
10	cg12216318	0.0327725264645523	0.0604529404509418	0.0714285714285714
11	cg19586165	0.0293724153900448	0.0303255460926379	0.0357142857142857
12	cg00039564	0.024200493347699	0.04399129123667	0.0357142857142857
13	cg00412337	0.0190283020457868	0.0328893461699082	0.0357142857142857
14	cg14741114	0.0138833171792178	0.0285200770538269	0.0357142857142857
15	cg22116041	0.0116943289023598	0.0235590032883856	0.0357142857142857
16	cg16775746	0.00984862749995924	0.0195864137229192	0.0357142857142857
17	cg21047583	0.00809827932434078	0.0209210281641717	0.0357142857142857
18	cg18524091	0.00760555787825589	0.0172202289762498	0.0357142857142857
19	cg01715818	0.00695221580843691	0.0197506311786312	0.0357142857142857
20	cg22145091	0.00527943065567327	0.0156286306984869	0.0357142857142857
21	cg12190841	0.00452647404595709	0.0143064584265066	0.0357142857142857
22	cg10586997	0.00407952588470408	0.0131330812537453	0.0357142857142857
23	cg01894508	0.00171234527310355	0.0133392835390787	0.0357142857142857
