"","x"
"1","cg00735667"
"2","cg02250553"
"3","cg02668822"
"4","cg02939781"
"5","cg03104758"
"6","cg03691338"
"7","cg04058305"
"8","cg07268319"
"9","cg08320628"
"10","cg10844118"
"11","cg11066033"
"12","cg12605679"
"13","cg13024018"
"14","cg14163444"
"15","cg14858951"
"16","cg15013768"
"17","cg17155577"
"18","cg17379209"
"19","cg17525102"
"20","cg19586165"
"21","cg19931348"
"22","cg20599651"
"23","cg20657849"
"24","cg20796999"
"25","cg21499430"
"26","cg21599089"
"27","cg21685663"
"28","cg21735093"
"29","cg22145091"
"30","cg22229039"
"31","cg24241129"
"32","cg24265969"
"33","cg24372565"
"34","cg25341275"
"35","cg26688191"
