seqnames,start,end,gene_name,gene_dot
chr1,110338506,110346681,RBM15,-1.52252737778744
chr1,154581695,154628013,ADAR,2.18485239982759
chr2,9423651,9473101,CPSF3,-1.1150709457738
chr2,28849821,28870309,TRMT61B,0.834520425990797
chr3,51391285,51397908,RBM15B,1.23683889831672
chr3,101561868,101566446,TRMT10C,-0.107696543281941
chr4,109740694,109801999,CFI,1.55761637134029
chr4,118685392,118715433,METTL14,1.10519489177471
chr6,159725585,159756319,WTAP,1.53948555383057
chr7,99438922,99457373,CPSF4,0.241756762468319
chr8,144393229,144409335,CPSF1,-2.25580709169569
chr10,1177313,1737525,ADARB2,0.572838921505676
chr11,33077188,33162371,CSTF3,2.47699891447594
chr11,57648188,57661865,CLP1,-1.3424459249162
chr11,83156988,83187451,PCF11,1.99949930788535
chr13,45954465,46052759,ZC3H13,-0.956759398404022
chr14,21498133,21511342,METTL3,2.25109399859665
chr14,23321457,23326163,PABPN1,-3.41828356211041
chr14,92121969,92172145,CPSF2,1.0443801850304
chr14,103529196,103537073,TRMT61A,-0.78483505758912
chr16,56429133,56452199,NUDT21,-1.39184517603039
chr20,5937228,5950558,TRMT6,-2.51352776860672
chr20,56392371,56406362,CSTF1,0.38866787118565
chr21,45073853,45226560,ADARB1,3.2671218799809
chrX,100820359,100841520,CSTF2,-5.27699234643594
