gene	Amp	Del	tumor
DPP4	0.196078431372549	-0.151960784313725	BLCA
ATP5G3	0.186274509803922	-0.151960784313725	BLCA
NFE2L2	0.193627450980392	-0.149509803921569	BLCA
FANCD2	0.517156862745098	-0.0686274509803922	BLCA
TFRC	0.612745098039216	-0.0588235294117647	BLCA
SLC7A11	0.122549019607843	-0.166666666666667	BLCA
CDKN1A	0.276960784313726	-0.186274509803922	BLCA
HSPB1	0.455882352941176	-0.115196078431373	BLCA
FDFT1	0.125	-0.102941176470588	BLCA
EMC2	0.644607843137255	-0.071078431372549	BLCA
RPL8	0.627450980392157	-0.0588235294117647	BLCA
HSPA5	0.193627450980392	-0.166666666666667	BLCA
NCOA4	0.215686274509804	-0.156862745098039	BLCA
CISD1	0.161764705882353	-0.169117647058824	BLCA
CARS	0.0784313725490196	-0.159313725490196	BLCA
LPCAT3	0.382352941176471	-0.129901960784314	BLCA
CS	0.284313725490196	-0.188725490196078	BLCA
GLS2	0.274509803921569	-0.191176470588235	BLCA
MT1G	0.205882352941176	-0.186274509803922	BLCA
ALOX15	0.147058823529412	-0.115196078431373	BLCA
GPX4	0.166666666666667	-0.208333333333333	BLCA
SLC1A5	0.42156862745098	-0.181372549019608	BLCA
SAT1	0.25	-0.186274509803922	BLCA
ACSL4	0.227941176470588	-0.181372549019608	BLCA
DPP4	0.109259259259259	-0.256481481481481	BRCA
ATP5G3	0.116666666666667	-0.261111111111111	BRCA
NFE2L2	0.12037037037037	-0.263888888888889	BRCA
FANCD2	0.240740740740741	-0.171296296296296	BRCA
TFRC	0.348148148148148	-0.183333333333333	BRCA
SLC7A11	0.124074074074074	-0.22962962962963	BRCA
CDKN1A	0.275925925925926	-0.230555555555556	BRCA
HSPB1	0.327777777777778	-0.153703703703704	BRCA
FDFT1	0.157407407407407	-0.112037037037037	BRCA
EMC2	0.637037037037037	-0.0638888888888889	BRCA
RPL8	0.594444444444444	-0.0675925925925926	BRCA
HSPA5	0.181481481481481	-0.162037037037037	BRCA
NCOA4	0.176851851851852	-0.158333333333333	BRCA
CISD1	0.169444444444444	-0.15462962962963	BRCA
CARS	0.169444444444444	-0.163888888888889	BRCA
LPCAT3	0.288888888888889	-0.17962962962963	BRCA
CS	0.250925925925926	-0.194444444444444	BRCA
GLS2	0.246296296296296	-0.198148148148148	BRCA
MT1G	0.137962962962963	-0.191666666666667	BRCA
ALOX15	0.087037037037037	-0.155555555555556	BRCA
GPX4	0.157407407407407	-0.162962962962963	BRCA
SLC1A5	0.276851851851852	-0.167592592592593	BRCA
SAT1	0.250925925925926	-0.175925925925926	BRCA
ACSL4	0.2	-0.169444444444444	BRCA
DPP4	0.172881355932203	-0.193220338983051	CESC
ATP5G3	0.186440677966102	-0.193220338983051	CESC
NFE2L2	0.189830508474576	-0.196610169491525	CESC
FANCD2	0.142372881355932	-0.271186440677966	CESC
TFRC	0.796610169491525	-0.023728813559322	CESC
SLC7A11	0.0847457627118644	-0.271186440677966	CESC
CDKN1A	0.264406779661017	-0.24406779661017	CESC
HSPB1	0.183050847457627	-0.250847457627119	CESC
FDFT1	0.145762711864407	-0.152542372881356	CESC
EMC2	0.43728813559322	-0.128813559322034	CESC
RPL8	0.444067796610169	-0.145762711864407	CESC
HSPA5	0.23728813559322	-0.257627118644068	CESC
NCOA4	0.088135593220339	-0.376271186440678	CESC
CISD1	0.0949152542372881	-0.355932203389831	CESC
CARS	0.0610169491525424	-0.288135593220339	CESC
LPCAT3	0.227118644067797	-0.210169491525424	CESC
CS	0.210169491525424	-0.227118644067797	CESC
GLS2	0.210169491525424	-0.223728813559322	CESC
MT1G	0.169491525423729	-0.349152542372881	CESC
ALOX15	0.0847457627118644	-0.264406779661017	CESC
GPX4	0.145762711864407	-0.23728813559322	CESC
SLC1A5	0.315254237288136	-0.257627118644068	CESC
SAT1	0.257627118644068	-0.172881355932203	CESC
ACSL4	0.247457627118644	-0.210169491525424	CESC
DPP4	0.222222222222222	-0.194444444444444	CHOL
ATP5G3	0.25	-0.194444444444444	CHOL
NFE2L2	0.25	-0.194444444444444	CHOL
FANCD2	0.0277777777777778	-0.111111111111111	CHOL
TFRC	0.333333333333333	-0.138888888888889	CHOL
SLC7A11	0.111111111111111	-0.166666666666667	CHOL
CDKN1A	0.305555555555556	-0.138888888888889	CHOL
HSPB1	0.25	-0.194444444444444	CHOL
FDFT1	0.138888888888889	-0.194444444444444	CHOL
EMC2	0.416666666666667	-0.138888888888889	CHOL
RPL8	0.444444444444444	-0.138888888888889	CHOL
HSPA5	0.0555555555555556	-0.222222222222222	CHOL
NCOA4	0.194444444444444	-0.222222222222222	CHOL
CISD1	0.222222222222222	-0.194444444444444	CHOL
CARS	0.111111111111111	-0.388888888888889	CHOL
LPCAT3	0.361111111111111	-0.166666666666667	CHOL
CS	0.25	-0.222222222222222	CHOL
GLS2	0.25	-0.222222222222222	CHOL
MT1G	0.166666666666667	-0.305555555555556	CHOL
ALOX15	0.111111111111111	-0.277777777777778	CHOL
GPX4	0.194444444444444	-0.277777777777778	CHOL
SLC1A5	0.194444444444444	-0.222222222222222	CHOL
SAT1	0.0833333333333333	-0.166666666666667	CHOL
ACSL4	0.0555555555555556	-0.25	CHOL
DPP4	0.221729490022173	-0.248337028824834	COAD
ATP5G3	0.226164079822616	-0.239467849223947	COAD
NFE2L2	0.226164079822616	-0.241685144124169	COAD
FANCD2	0.124168514412417	-0.254988913525499	COAD
TFRC	0.223946784922395	-0.161862527716186	COAD
SLC7A11	0.0443458980044346	-0.30820399113082	COAD
CDKN1A	0.235033259423503	-0.274944567627494	COAD
HSPB1	0.536585365853659	-0.119733924611973	COAD
FDFT1	0.210643015521064	-0.150776053215078	COAD
EMC2	0.596452328159645	-0.157427937915743	COAD
RPL8	0.583148558758315	-0.133037694013304	COAD
HSPA5	0.201773835920177	-0.164079822616408	COAD
NCOA4	0.0753880266075388	-0.392461197339246	COAD
CISD1	0.0842572062084257	-0.365853658536585	COAD
CARS	0.159645232815965	-0.314855875831486	COAD
LPCAT3	0.268292682926829	-0.188470066518847	COAD
CS	0.241685144124169	-0.208425720620843	COAD
GLS2	0.241685144124169	-0.208425720620843	COAD
MT1G	0.297117516629712	-0.24390243902439	COAD
ALOX15	0.0443458980044346	-0.139689578713969	COAD
GPX4	0.201773835920177	-0.241685144124169	COAD
SLC1A5	0.235033259423503	-0.235033259423503	COAD
SAT1	0.312638580931264	-0.11529933481153	COAD
ACSL4	0.339246119733925	-0.124168514412417	COAD
DPP4	0.358695652173913	-0.119565217391304	ESCA
ATP5G3	0.391304347826087	-0.119565217391304	ESCA
NFE2L2	0.402173913043478	-0.108695652173913	ESCA
FANCD2	0.146739130434783	-0.0923913043478261	ESCA
TFRC	0.695652173913043	-0.0489130434782609	ESCA
SLC7A11	0.152173913043478	-0.173913043478261	ESCA
CDKN1A	0.347826086956522	-0.152173913043478	ESCA
HSPB1	0.597826086956522	-0.0760869565217391	ESCA
FDFT1	0.309782608695652	-0.130434782608696	ESCA
EMC2	0.75	-0.0434782608695652	ESCA
RPL8	0.733695652173913	-0.0652173913043478	ESCA
HSPA5	0.342391304347826	-0.135869565217391	ESCA
NCOA4	0.282608695652174	-0.228260869565217	ESCA
CISD1	0.255434782608696	-0.222826086956522	ESCA
CARS	0.168478260869565	-0.206521739130435	ESCA
LPCAT3	0.418478260869565	-0.114130434782609	ESCA
CS	0.298913043478261	-0.114130434782609	ESCA
GLS2	0.298913043478261	-0.114130434782609	ESCA
MT1G	0.28804347826087	-0.190217391304348	ESCA
ALOX15	0.168478260869565	-0.119565217391304	ESCA
GPX4	0.135869565217391	-0.114130434782609	ESCA
SLC1A5	0.304347826086957	-0.135869565217391	ESCA
SAT1	0.217391304347826	-0.108695652173913	ESCA
ACSL4	0.380434782608696	-0.157608695652174	ESCA
DPP4	0.0745233968804159	-0.435008665511265	GBM
ATP5G3	0.0693240901213172	-0.441941074523397	GBM
NFE2L2	0.0693240901213172	-0.440207972270364	GBM
FANCD2	0.138648180242634	-0.204506065857886	GBM
TFRC	0.166377816291161	-0.249566724436742	GBM
SLC7A11	0.0901213171577123	-0.391681109185442	GBM
CDKN1A	0.0849220103986135	-0.358752166377816	GBM
HSPB1	0.856152512998267	-0.0294627383015598	GBM
FDFT1	0.136915077989601	-0.261698440207972	GBM
EMC2	0.159445407279029	-0.299826689774697	GBM
RPL8	0.17157712305026	-0.277296360485269	GBM
HSPA5	0.21317157712305	-0.247833622183709	GBM
NCOA4	0.0155979202772964	-0.0814558058925477	GBM
CISD1	0.0103986135181976	-0.072790294627383	GBM
CARS	0.048526863084922	-0.306759098786828	GBM
LPCAT3	0.143847487001733	-0.315424610051993	GBM
CS	0.116117850953206	-0.322357019064125	GBM
GLS2	0.121317157712305	-0.320623916811092	GBM
MT1G	0.131715771230503	-0.2842287694974	GBM
ALOX15	0.136915077989601	-0.315424610051993	GBM
GPX4	0.492201039861352	-0.195840554592721	GBM
SLC1A5	0.329289428076256	-0.218370883882149	GBM
SAT1	0.072790294627383	-0.348353552859619	GBM
ACSL4	0.0814558058925477	-0.348353552859619	GBM
DPP4	0.206896551724138	-0.235632183908046	HNSC
ATP5G3	0.25095785440613	-0.224137931034483	HNSC
NFE2L2	0.25095785440613	-0.227969348659004	HNSC
FANCD2	0.053639846743295	-0.128352490421456	HNSC
TFRC	0.752873563218391	-0.0613026819923372	HNSC
SLC7A11	0.114942528735632	-0.252873563218391	HNSC
CDKN1A	0.229885057471264	-0.206896551724138	HNSC
HSPB1	0.344827586206897	-0.224137931034483	HNSC
FDFT1	0.189655172413793	-0.103448275862069	HNSC
EMC2	0.754789272030651	-0.0670498084291188	HNSC
RPL8	0.758620689655172	-0.0670498084291188	HNSC
HSPA5	0.408045977011494	-0.149425287356322	HNSC
NCOA4	0.124521072796935	-0.323754789272031	HNSC
CISD1	0.10727969348659	-0.331417624521073	HNSC
CARS	0.153256704980843	-0.189655172413793	HNSC
LPCAT3	0.363984674329502	-0.162835249042146	HNSC
CS	0.216475095785441	-0.233716475095785	HNSC
GLS2	0.216475095785441	-0.233716475095785	HNSC
MT1G	0.277777777777778	-0.241379310344828	HNSC
ALOX15	0.174329501915709	-0.256704980842912	HNSC
GPX4	0.103448275862069	-0.256704980842912	HNSC
SLC1A5	0.185823754789272	-0.308429118773946	HNSC
SAT1	0.172413793103448	-0.162835249042146	HNSC
ACSL4	0.323754789272031	-0.168582375478927	HNSC
DPP4	0.0454545454545455	-0.378787878787879	KICH
ATP5G3	0.0454545454545455	-0.378787878787879	KICH
NFE2L2	0.0454545454545455	-0.378787878787879	KICH
FANCD2	0.151515151515152	-0.106060606060606	KICH
TFRC	0.196969696969697	-0.0606060606060606	KICH
SLC7A11	0.454545454545455	-0.0606060606060606	KICH
CDKN1A	0.0303030303030303	-0.393939393939394	KICH
HSPB1	0.454545454545455	-0.0606060606060606	KICH
FDFT1	0.318181818181818	-0.106060606060606	KICH
EMC2	0.348484848484849	-0.121212121212121	KICH
RPL8	0.318181818181818	-0.151515151515152	KICH
HSPA5	0.181818181818182	-0.121212121212121	KICH
NCOA4	0.0454545454545455	-0.378787878787879	KICH
CISD1	0.0454545454545455	-0.378787878787879	KICH
CARS	0.272727272727273	-0.0757575757575758	KICH
LPCAT3	0.333333333333333	-0.0757575757575758	KICH
CS	0.363636363636364	-0.0303030303030303	KICH
GLS2	0.363636363636364	-0.0303030303030303	KICH
MT1G	0.348484848484849	-0.0606060606060606	KICH
ALOX15	0.0151515151515152	-0.333333333333333	KICH
GPX4	0.393939393939394	-0.121212121212121	KICH
SLC1A5	0.348484848484849	-0.121212121212121	KICH
SAT1	0.151515151515152	-0.393939393939394	KICH
ACSL4	0.136363636363636	-0.409090909090909	KICH
DPP4	0.179924242424242	-0.136363636363636	KIRC
ATP5G3	0.181818181818182	-0.132575757575758	KIRC
NFE2L2	0.181818181818182	-0.134469696969697	KIRC
FANCD2	0.0170454545454545	-0.378787878787879	KIRC
TFRC	0.193181818181818	-0.126893939393939	KIRC
SLC7A11	0.0340909090909091	-0.268939393939394	KIRC
CDKN1A	0.0284090909090909	-0.227272727272727	KIRC
HSPB1	0.365530303030303	-0.119318181818182	KIRC
FDFT1	0.0416666666666667	-0.303030303030303	KIRC
EMC2	0.145833333333333	-0.253787878787879	KIRC
RPL8	0.15719696969697	-0.232954545454545	KIRC
HSPA5	0.0303030303030303	-0.214015151515152	KIRC
NCOA4	0.0246212121212121	-0.388257575757576	KIRC
CISD1	0.0265151515151515	-0.392045454545455	KIRC
CARS	0.0814393939393939	-0.276515151515151	KIRC
LPCAT3	0.253787878787879	-0.164772727272727	KIRC
CS	0.25	-0.168560606060606	KIRC
GLS2	0.25	-0.168560606060606	KIRC
MT1G	0.208333333333333	-0.147727272727273	KIRC
ALOX15	0.071969696969697	-0.195075757575758	KIRC
GPX4	0.123106060606061	-0.208333333333333	KIRC
SLC1A5	0.145833333333333	-0.206439393939394	KIRC
SAT1	0.104166666666667	-0.259469696969697	KIRC
ACSL4	0.0984848484848485	-0.265151515151515	KIRC
DPP4	0.190972222222222	-0.0659722222222222	KIRP
ATP5G3	0.197916666666667	-0.0694444444444444	KIRP
NFE2L2	0.201388888888889	-0.0729166666666667	KIRP
FANCD2	0.267361111111111	-0.267361111111111	KIRP
TFRC	0.378472222222222	-0.166666666666667	KIRP
SLC7A11	0.03125	-0.302083333333333	KIRP
CDKN1A	0.0173611111111111	-0.548611111111111	KIRP
HSPB1	0.611111111111111	-0.152777777777778	KIRP
FDFT1	0.0798611111111111	-0.479166666666667	KIRP
EMC2	0.118055555555556	-0.427083333333333	KIRP
RPL8	0.118055555555556	-0.430555555555556	KIRP
HSPA5	0.0173611111111111	-0.482638888888889	KIRP
NCOA4	0.0277777777777778	-0.652777777777778	KIRP
CISD1	0.0277777777777778	-0.65625	KIRP
CARS	0.0416666666666667	-0.527777777777778	KIRP
LPCAT3	0.409722222222222	-0.263888888888889	KIRP
CS	0.409722222222222	-0.267361111111111	KIRP
GLS2	0.409722222222222	-0.267361111111111	KIRP
MT1G	0.534722222222222	-0.170138888888889	KIRP
ALOX15	0.607638888888889	-0.0763888888888889	KIRP
GPX4	0.0416666666666667	-0.381944444444444	KIRP
SLC1A5	0.0381944444444444	-0.430555555555556	KIRP
SAT1	0.548611111111111	-0.104166666666667	KIRP
ACSL4	0.569444444444444	-0.0868055555555556	KIRP
DPP4	0.145945945945946	-0.359459459459459	LIHC
ATP5G3	0.162162162162162	-0.356756756756757	LIHC
NFE2L2	0.2	-0.340540540540541	LIHC
FANCD2	0.178378378378378	-0.243243243243243	LIHC
TFRC	0.218918918918919	-0.335135135135135	LIHC
SLC7A11	0.0405405405405405	-0.351351351351351	LIHC
CDKN1A	0.402702702702703	-0.262162162162162	LIHC
HSPB1	0.381081081081081	-0.135135135135135	LIHC
FDFT1	0.0783783783783784	-0.0756756756756757	LIHC
EMC2	0.62972972972973	-0.0945945945945946	LIHC
RPL8	0.613513513513513	-0.0918918918918919	LIHC
HSPA5	0.0972972972972973	-0.254054054054054	LIHC
NCOA4	0.162162162162162	-0.186486486486486	LIHC
CISD1	0.156756756756757	-0.189189189189189	LIHC
CARS	0.118918918918919	-0.359459459459459	LIHC
LPCAT3	0.135135135135135	-0.337837837837838	LIHC
CS	0.178378378378378	-0.386486486486486	LIHC
GLS2	0.172972972972973	-0.394594594594595	LIHC
MT1G	0.0837837837837838	-0.145945945945946	LIHC
ALOX15	0.072972972972973	-0.113513513513514	LIHC
GPX4	0.224324324324324	-0.175675675675676	LIHC
SLC1A5	0.281081081081081	-0.197297297297297	LIHC
SAT1	0.205405405405405	-0.191891891891892	LIHC
ACSL4	0.302702702702703	-0.181081081081081	LIHC
DPP4	0.381782945736434	-0.151162790697674	LUAD
ATP5G3	0.374031007751938	-0.155038759689922	LUAD
NFE2L2	0.377906976744186	-0.155038759689922	LUAD
FANCD2	0.102713178294574	-0.151162790697674	LUAD
TFRC	0.308139534883721	-0.124031007751938	LUAD
SLC7A11	0.143410852713178	-0.186046511627907	LUAD
CDKN1A	0.445736434108527	-0.168604651162791	LUAD
HSPB1	0.523255813953488	-0.0968992248062016	LUAD
FDFT1	0.180232558139535	-0.12015503875969	LUAD
EMC2	0.612403100775194	-0.11046511627907	LUAD
RPL8	0.627906976744186	-0.11046511627907	LUAD
HSPA5	0.135658914728682	-0.172480620155039	LUAD
NCOA4	0.242248062015504	-0.180232558139535	LUAD
CISD1	0.222868217054264	-0.178294573643411	LUAD
CARS	0.209302325581395	-0.201550387596899	LUAD
LPCAT3	0.362403100775194	-0.12984496124031	LUAD
CS	0.37984496124031	-0.135658914728682	LUAD
GLS2	0.381782945736434	-0.137596899224806	LUAD
MT1G	0.273255813953488	-0.125968992248062	LUAD
ALOX15	0.12984496124031	-0.12984496124031	LUAD
GPX4	0.0910852713178295	-0.143410852713178	LUAD
SLC1A5	0.197674418604651	-0.158914728682171	LUAD
SAT1	0.174418604651163	-0.197674418604651	LUAD
ACSL4	0.304263565891473	-0.193798449612403	LUAD
DPP4	0.397205588822355	-0.165668662674651	LUSC
ATP5G3	0.429141716566866	-0.155688622754491	LUSC
NFE2L2	0.435129740518962	-0.149700598802395	LUSC
FANCD2	0.06187624750499	-0.0419161676646707	LUSC
TFRC	0.898203592814371	-0.00998003992015968	LUSC
SLC7A11	0.0738522954091816	-0.101796407185629	LUSC
CDKN1A	0.341317365269461	-0.145708582834331	LUSC
HSPB1	0.572854291417166	-0.0678642714570858	LUSC
FDFT1	0.12375249500998	-0.0578842315369262	LUSC
EMC2	0.710578842315369	-0.0518962075848303	LUSC
RPL8	0.724550898203593	-0.0419161676646707	LUSC
HSPA5	0.251497005988024	-0.0918163672654691	LUSC
NCOA4	0.171656686626747	-0.155688622754491	LUSC
CISD1	0.143712574850299	-0.157684630738523	LUSC
CARS	0.143712574850299	-0.11377245508982	LUSC
LPCAT3	0.596806387225549	-0.0578842315369262	LUSC
CS	0.399201596806387	-0.11377245508982	LUSC
GLS2	0.397205588822355	-0.11377245508982	LUSC
MT1G	0.249500998003992	-0.11377245508982	LUSC
ALOX15	0.137724550898204	-0.0898203592814371	LUSC
GPX4	0.207584830339321	-0.131736526946108	LUSC
SLC1A5	0.375249500998004	-0.131736526946108	LUSC
SAT1	0.219560878243513	-0.157684630738523	LUSC
ACSL4	0.30938123752495	-0.157684630738523	LUSC
DPP4	0.184782608695652	-0.146739130434783	PAAD
ATP5G3	0.184782608695652	-0.157608695652174	PAAD
NFE2L2	0.179347826086957	-0.157608695652174	PAAD
FANCD2	0.0706521739130435	-0.195652173913043	PAAD
TFRC	0.195652173913043	-0.152173913043478	PAAD
SLC7A11	0.0760869565217391	-0.21195652173913	PAAD
CDKN1A	0.0652173913043478	-0.222826086956522	PAAD
HSPB1	0.342391304347826	-0.0543478260869565	PAAD
FDFT1	0.130434782608696	-0.119565217391304	PAAD
EMC2	0.385869565217391	-0.0760869565217391	PAAD
RPL8	0.396739130434783	-0.0815217391304348	PAAD
HSPA5	0.0923913043478261	-0.271739130434783	PAAD
NCOA4	0.125	-0.168478260869565	PAAD
CISD1	0.130434782608696	-0.16304347826087	PAAD
CARS	0.0869565217391304	-0.201086956521739	PAAD
LPCAT3	0.222826086956522	-0.184782608695652	PAAD
CS	0.201086956521739	-0.157608695652174	PAAD
GLS2	0.201086956521739	-0.157608695652174	PAAD
MT1G	0.179347826086957	-0.157608695652174	PAAD
ALOX15	0.0543478260869565	-0.157608695652174	PAAD
GPX4	0.103260869565217	-0.233695652173913	PAAD
SLC1A5	0.244565217391304	-0.228260869565217	PAAD
SAT1	0.0760869565217391	-0.239130434782609	PAAD
ACSL4	0.125	-0.255434782608696	PAAD
DPP4	0.0487804878048781	-0.231707317073171	PRAD
ATP5G3	0.0528455284552846	-0.235772357723577	PRAD
NFE2L2	0.0528455284552846	-0.229674796747967	PRAD
FANCD2	0.119918699186992	-0.16260162601626	PRAD
TFRC	0.178861788617886	-0.172764227642276	PRAD
SLC7A11	0.0589430894308943	-0.178861788617886	PRAD
CDKN1A	0.0386178861788618	-0.278455284552846	PRAD
HSPB1	0.288617886178862	-0.0426829268292683	PRAD
FDFT1	0.0609756097560976	-0.229674796747967	PRAD
EMC2	0.363821138211382	-0.0426829268292683	PRAD
RPL8	0.32520325203252	-0.0691056910569106	PRAD
HSPA5	0.150406504065041	-0.16869918699187	PRAD
NCOA4	0.0528455284552846	-0.178861788617886	PRAD
CISD1	0.0569105691056911	-0.17479674796748	PRAD
CARS	0.0853658536585366	-0.109756097560976	PRAD
LPCAT3	0.0426829268292683	-0.221544715447154	PRAD
CS	0.0711382113821138	-0.160569105691057	PRAD
GLS2	0.0711382113821138	-0.160569105691057	PRAD
MT1G	0.0203252032520325	-0.221544715447154	PRAD
ALOX15	0.0264227642276423	-0.258130081300813	PRAD
GPX4	0.0386178861788618	-0.223577235772358	PRAD
SLC1A5	0.0467479674796748	-0.223577235772358	PRAD
SAT1	0.0650406504065041	-0.25	PRAD
ACSL4	0.0467479674796748	-0.276422764227642	PRAD
DPP4	0.284848484848485	-0.254545454545455	READ
ATP5G3	0.296969696969697	-0.248484848484848	READ
NFE2L2	0.296969696969697	-0.248484848484848	READ
FANCD2	0.187878787878788	-0.23030303030303	READ
TFRC	0.284848484848485	-0.163636363636364	READ
SLC7A11	0.0545454545454545	-0.315151515151515	READ
CDKN1A	0.333333333333333	-0.193939393939394	READ
HSPB1	0.593939393939394	-0.096969696969697	READ
FDFT1	0.096969696969697	-0.133333333333333	READ
EMC2	0.648484848484848	-0.121212121212121	READ
RPL8	0.660606060606061	-0.127272727272727	READ
HSPA5	0.272727272727273	-0.103030303030303	READ
NCOA4	0.0727272727272727	-0.363636363636364	READ
CISD1	0.0545454545454545	-0.321212121212121	READ
CARS	0.224242424242424	-0.278787878787879	READ
LPCAT3	0.260606060606061	-0.212121212121212	READ
CS	0.175757575757576	-0.242424242424242	READ
GLS2	0.175757575757576	-0.242424242424242	READ
MT1G	0.333333333333333	-0.224242424242424	READ
ALOX15	0.0484848484848485	-0.121212121212121	READ
GPX4	0.248484848484848	-0.2	READ
SLC1A5	0.242424242424242	-0.181818181818182	READ
SAT1	0.296969696969697	-0.206060606060606	READ
ACSL4	0.272727272727273	-0.2	READ
DPP4	0.229024943310658	-0.154195011337868	STAD
ATP5G3	0.247165532879819	-0.147392290249433	STAD
NFE2L2	0.247165532879819	-0.145124716553288	STAD
FANCD2	0.151927437641723	-0.229024943310658	STAD
TFRC	0.408163265306122	-0.0997732426303855	STAD
SLC7A11	0.0770975056689342	-0.231292517006803	STAD
CDKN1A	0.281179138321995	-0.235827664399093	STAD
HSPB1	0.510204081632653	-0.131519274376417	STAD
FDFT1	0.448979591836735	-0.124716553287982	STAD
EMC2	0.709750566893424	-0.0884353741496599	STAD
RPL8	0.689342403628118	-0.0884353741496599	STAD
HSPA5	0.276643990929705	-0.251700680272109	STAD
NCOA4	0.240362811791383	-0.301587301587302	STAD
CISD1	0.242630385487528	-0.294784580498866	STAD
CARS	0.165532879818594	-0.326530612244898	STAD
LPCAT3	0.306122448979592	-0.131519274376417	STAD
CS	0.310657596371882	-0.136054421768707	STAD
GLS2	0.303854875283447	-0.142857142857143	STAD
MT1G	0.142857142857143	-0.303854875283447	STAD
ALOX15	0.104308390022676	-0.195011337868481	STAD
GPX4	0.149659863945578	-0.219954648526077	STAD
SLC1A5	0.306122448979592	-0.226757369614512	STAD
SAT1	0.27891156462585	-0.133786848072562	STAD
ACSL4	0.285714285714286	-0.160997732426304	STAD
DPP4	0.00200400801603206	-0.0581162324649299	THCA
ATP5G3	0.00200400801603206	-0.0601202404809619	THCA
NFE2L2	0.00200400801603206	-0.0601202404809619	THCA
FANCD2	0.00601202404809619	-0.0861723446893788	THCA
TFRC	0.00801603206412826	-0.0861723446893788	THCA
SLC7A11	0.0140280561122244	-0.0741482965931864	THCA
CDKN1A	0.00400801603206413	-0.0681362725450902	THCA
HSPB1	0.0440881763527054	-0.030060120240481	THCA
FDFT1	0.0180360721442886	-0.0521042084168337	THCA
EMC2	0.0200400801603206	-0.0581162324649299	THCA
RPL8	0.0260521042084168	-0.0541082164328657	THCA
HSPA5	0.00801603206412826	-0.0861723446893788	THCA
NCOA4	0.00400801603206413	-0.0681362725450902	THCA
