Gene stable ID	Gene name	Mouse gene name	Mouse gene stable ID	Mouse homology type
ENSG00000277460	RF02198	Gm27680	ENSMUSG00000099219	ortholog_one2one
ENSG00000276730	RF02275	Gm27265	ENSMUSG00000099252	ortholog_one2one
ENSG00000251976	RN7SKP141	Gm25341	ENSMUSG00000088086	ortholog_one2one
ENSG00000252079	RNU6-327P	Gm22296	ENSMUSG00000065244	ortholog_one2one
ENSG00000252882	RNU6-1137P	Gm22755	ENSMUSG00000087768	ortholog_one2one
ENSG00000222990	RNU4-22P	Gm22122	ENSMUSG00000092888	ortholog_one2one
ENSG00000274500	RF02150	Gm27568	ENSMUSG00000099073	ortholog_one2one
ENSG00000274430	RF02124	Gm27875	ENSMUSG00000099189	ortholog_one2one
ENSG00000275646	RF02174	Gm27301	ENSMUSG00000098614	ortholog_one2one
ENSG00000199392	RF00402	Gm22088	ENSMUSG00000088966	ortholog_one2one
ENSG00000199032	MIR425	Mir425	ENSMUSG00000065579	ortholog_one2one
ENSG00000274520	RF02246	Gm27435	ENSMUSG00000098775	ortholog_one2one
ENSG00000252322	RN7SKP244	Gm23098	ENSMUSG00000088177	ortholog_one2one
ENSG00000206733	RNU6-641P	Gm24207	ENSMUSG00000064715	ortholog_one2one
ENSG00000212545	RNU6-337P	Gm25334	ENSMUSG00000088661	ortholog_one2one
ENSG00000276057	RF01883	Gm27937	ENSMUSG00000098503	ortholog_one2one
ENSG00000202031	SNORD38A	Snord38a	ENSMUSG00000065680	ortholog_one2one
ENSG00000284191	MIR671	Mir671	ENSMUSG00000076387	ortholog_one2one
ENSG00000212593	RF00072	Gm22972	ENSMUSG00000065231	ortholog_one2one
ENSG00000276048	RF02250	Gm27275	ENSMUSG00000098323	ortholog_one2one
ENSG00000215991	MIR208B	Mir208b	ENSMUSG00000077928	ortholog_one2one
ENSG00000223224	SNORD71	Snord71	ENSMUSG00000077549	ortholog_one2one
ENSG00000206675	RNU6-32P	Gm24641	ENSMUSG00000096786	ortholog_one2one
ENSG00000199765	RNU6-363P	Gm25918	ENSMUSG00000077454	ortholog_one2one
ENSG00000199574	SNORD18C	Gm22455	ENSMUSG00000064514	ortholog_one2one
ENSG00000284202	MIR137	Mir137	ENSMUSG00000065569	ortholog_one2one
ENSG00000200959	SNORA74A	Snora74a	ENSMUSG00000065649	ortholog_one2one
ENSG00000273571	RF02188	Gm27365	ENSMUSG00000098525	ortholog_one2one
ENSG00000281780	RF00134	Gm26457	ENSMUSG00000105060	ortholog_one2one
ENSG00000212232	SNORD17	Snord17	ENSMUSG00000077714	ortholog_one2one
ENSG00000199652	RNU1-35P	Gm23330	ENSMUSG00000096211	ortholog_one2one
ENSG00000207492	RNU6-713P	Gm23567	ENSMUSG00000096559	ortholog_one2one
ENSG00000222765	RNU2-40P	Gm25572	ENSMUSG00000088152	ortholog_one2one
ENSG00000276055	RF02089	Gm27793	ENSMUSG00000099052	ortholog_one2one
ENSG00000222249	RNU6-262P	Gm23231	ENSMUSG00000087924	ortholog_one2one
ENSG00000200785	SNORD8	Gm23734	ENSMUSG00000065687	ortholog_one2one
ENSG00000200108	RNU6-774P	Gm25080	ENSMUSG00000064460	ortholog_one2one
ENSG00000284459	MIR24-1	Mir24-1	ENSMUSG00000105904	ortholog_one2one
ENSG00000206775	SNORD37	Snord37	ENSMUSG00000064441	ortholog_one2one
ENSG00000275968	RF02090	Gm27585	ENSMUSG00000098667	ortholog_one2one
ENSG00000264452	RF00285	Gm22394	ENSMUSG00000093784	ortholog_one2one
ENSG00000284140	MIR3618	Gm24572	ENSMUSG00000093246	ortholog_one2one
ENSG00000284261	MIR4657	Gm22123	ENSMUSG00000092885	ortholog_one2one
ENSG00000201033	RNU1-96P	Gm23838	ENSMUSG00000088692	ortholog_one2one
ENSG00000207797	MIR187	Mir187	ENSMUSG00000065532	ortholog_one2one
ENSG00000238531	SNORD105B	Gm23008	ENSMUSG00000089571	ortholog_one2one
ENSG00000200084	SNORD68	Snord68	ENSMUSG00000064450	ortholog_one2one
ENSG00000202317	RNU1-84P	Gm26244	ENSMUSG00000095616	ortholog_one2one
ENSG00000222686	RNU4-72P	Gm22479	ENSMUSG00000084515	ortholog_one2one
ENSG00000207713	MIR200C	Mir200c	ENSMUSG00000065462	ortholog_one2one
ENSG00000198972	MIRLET7E	Mirlet7e	ENSMUSG00000105758	ortholog_one2one
ENSG00000252619	RNU6-1149P	Gm26411	ENSMUSG00000088293	ortholog_one2one
ENSG00000251878	RF00152	Mir5117	ENSMUSG00000065160	ortholog_one2one
ENSG00000222344	RNU6-613P	Gm23676	ENSMUSG00000087939	ortholog_one2one
