,P.Value,deltaBeta,feature
cg09403666,3.80E-11,0.592593266,IGR
cg03433048,3.77E-11,-0.308433449,TSS200
cg20636352,3.75E-11,0.557353524,IGR
cg01854491,3.73E-11,-0.39700722,5'UTR
cg25835179,3.70E-11,-0.30241184,TSS200
cg26894523,3.69E-11,0.417879215,Body
cg00251824,3.69E-11,0.100442231,Body
cg08834128,3.68E-11,-0.425977625,IGR
cg05139788,3.67E-11,0.57660427,Body
cg07571337,3.66E-11,0.128308078,IGR
cg02393699,3.63E-11,0.371696037,Body
cg21843594,3.63E-11,0.427490686,TSS200
cg19759804,3.62E-11,-0.289081863,Body
cg16709342,3.60E-11,0.224135098,Body
cg03224650,3.60E-11,-0.384072938,Body
cg19839325,3.60E-11,0.464209962,Body
cg10743291,3.58E-11,0.306080999,5'UTR
cg07615493,3.58E-11,-0.390354899,Body
cg07854547,3.56E-11,0.458923313,TSS1500
cg08250918,3.55E-11,0.376655796,Body
cg19358307,3.55E-11,0.434490099,IGR
cg06830167,3.54E-11,-0.324656824,Body
cg07160992,3.54E-11,0.228311378,Body
cg16641055,3.54E-11,0.427089238,Body
cg18647268,3.53E-11,0.406150729,Body
cg22980079,3.53E-11,0.387150672,TSS200
cg01753209,3.52E-11,-0.367457483,TSS1500
cg03799835,3.51E-11,0.332493271,Body
cg03442712,3.50E-11,0.496556001,IGR
cg12333160,3.50E-11,-0.558828932,IGR
cg21806580,3.48E-11,-0.464003314,IGR
cg04804139,3.47E-11,0.34580638,Body
cg12355586,3.44E-11,0.396777718,3'UTR
cg27128761,3.44E-11,0.472989254,Body
cg25213968,3.42E-11,0.38470243,Body
cg07573020,3.41E-11,0.370379762,3'UTR
cg06134860,3.41E-11,0.333942838,3'UTR
cg24683222,3.41E-11,0.442348215,IGR
cg26572896,3.40E-11,-0.450630302,IGR
cg14389139,3.40E-11,0.264116075,Body
cg01758512,3.36E-11,0.449979886,5'UTR
ch.9.7776528F,3.35E-11,-0.09073309,IGR
cg24766821,3.34E-11,0.470911608,IGR
cg26784011,3.32E-11,0.454508,IGR
cg16832407,3.32E-11,0.57888106,TSS200
cg03536961,3.29E-11,0.112153662,Body
cg20206277,3.29E-11,-0.372963487,TSS1500
cg14750757,3.27E-11,0.444335339,Body
cg03977657,3.26E-11,-0.380220688,1stExon
cg04874286,3.26E-11,0.646719614,Body
cg12229082,3.26E-11,-0.386846623,TSS200
cg23709476,3.25E-11,0.370022338,IGR
cg15032142,3.25E-11,0.454062047,IGR
cg21333665,3.24E-11,-0.165157235,5'UTR
cg07897871,3.23E-11,-0.507877457,5'UTR
cg02065790,3.22E-11,0.40341269,IGR
cg18822703,3.22E-11,0.297739825,3'UTR
cg16103203,3.20E-11,-0.382563874,TSS1500
cg05878887,3.20E-11,-0.386532284,Body
cg06585708,3.18E-11,0.423115437,IGR
cg22400015,3.17E-11,0.454699958,Body
cg14823851,3.17E-11,0.297167402,TSS1500
cg03526459,3.16E-11,0.545200132,IGR
cg12122146,3.13E-11,0.617516571,TSS200
cg13160221,3.13E-11,-0.040028139,TSS1500
cg00925722,3.10E-11,0.149392463,Body
cg01982724,3.09E-11,0.271781848,IGR
cg27534624,3.09E-11,-0.546823893,TSS1500
cg21915313,3.08E-11,0.443748806,Body
cg22759265,3.08E-11,0.219024268,Body
cg13270625,3.08E-11,-0.399881986,TSS200
cg05609445,3.06E-11,0.152100559,3'UTR
cg08436419,3.02E-11,0.601582137,Body
cg01959730,2.99E-11,0.605156615,IGR
