	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_CpG_Islands_Name	DHS	Enhancer	Phantom	Probe_SNPs	Probe_SNPs_10
cg00294658	12	7126344	F	II	LPCAT3	TSS1500	island	TSS1500-island	chr12:7125534-7126356	NA	NA		rs28365899	
cg00302587	10	51576241	F	II	NCOA4	TSS200	shelf	TSS200-shelf	chr10:51572198-51572620	NA	TRUE			
cg00306198	8	109455451	F	I	TTC35	TSS1500	shore	TSS1500-shore	chr8:109455600-109456263	NA	NA			
cg00361146	4	139163780	R	II	SLC7A11	TSS1500	opensea	TSS1500-opensea		TRUE	NA			
cg00377653	12	56882535	R	II	GLS2	TSS1500	island	TSS1500-island	chr12:56881401-56882702	TRUE	NA			rs2638334
cg00431602	X	23799775	F	II	SAT1	TSS1500	shore	TSS1500-shore	chrX:23801055-23801724	NA	NA		rs2532624	
cg00502555	19	1103806	F	I	GPX4	TSS1500	island	TSS1500-island	chr19:1103722-1105758	NA	NA		rs17554938	
cg00859595	7	75931693	R	II	HSPB1	TSS200	shore	TSS200-shore	chr7:75931704-75932978	NA	NA			
cg01163066	12	7126256	R	I	LPCAT3	TSS1500	island	TSS1500-island	chr12:7125534-7126356	NA	NA			
cg01315067	10	51576232	F	II	NCOA4	TSS200	shelf	TSS200-shelf	chr10:51572198-51572620	NA	TRUE			
cg01406381	19	47288263	F	II	SLC1A5	TSS200	shelf	TSS200-shelf	chr19:47290585-47291983	NA	NA			
cg01507019	16	56703257	R	I	MT1G	TSS1500	shore	TSS1500-shore	chr16:56703387-56703648	NA	TRUE			rs12446001
cg01733783	9	128003852	R	II	HSPA5	TSS200	island	TSS200-island	chr9:128002945-128003972	NA	NA			
cg02009256	12	56882326	R	I	GLS2	TSS200	island	TSS200-island	chr12:56881401-56882702	TRUE	NA			
cg02102889	4	139164723	R	II	SLC7A11	TSS1500	opensea	TSS1500-opensea		NA	TRUE			
cg02507578	2	178130284	R	II	NFE2L2	TSS1500	shore	TSS1500-shore	chr2:178128273-178129847	NA	NA			
cg02578312	8	146018599	R	II	RPL8	TSS1500	island	TSS1500-island	chr8:146016927-146018664	NA	NA			rs2958514
cg02590366	16	56702653	F	II	MT1G	TSS1500	shore	TSS1500-shore	chr16:56703387-56703648	NA	TRUE			
cg02803037	16	56702158	R	I	MT1G	TSS200	island	TSS200-island	chr16:56701863-56702208	NA	NA			
cg02840367	8	11660030	F	I	FDFT1	TSS200	island	TSS200-island	chr8:11659676-11660795	NA	NA		rs2645429	
cg02887248	8	11659961	F	II	FDFT1	TSS1500	island	TSS1500-island	chr8:11659676-11660795	NA	NA	high-CpG:11697359-11697390		
cg03122505	7	75931843	R	I	HSPB1	TSS200	island	TSS200-island	chr7:75931704-75932978	NA	NA	high-CpG:75769765-75769958		
cg03314080	2	178129903	R	II	NFE2L2	TSS1500	shore	TSS1500-shore	chr2:178128273-178129847	NA	NA			
cg03359362	19	47289611	R	II	SLC1A5	TSS1500	shore	TSS1500-shore	chr19:47290585-47291983	NA	NA			
cg03567622	10	60028853	F	II	CISD1	TSS200	island	TSS200-island	chr10:60027007-60029241	NA	NA		rs2251039	
cg03575501	6	36646259	R	I	CDKN1A	TSS1500	island	TSS1500-island	chr6:36646244-36648465	NA	NA			
cg03714916	6	36645886	F	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	NA			
cg03972219	17	4546058	R	I	ALOX15	TSS1500	shore	TSS1500-shore	chr17:4542715-4544934	NA	NA			
cg05223591	2	176046632	F	II	ATP5G3	TSS1500	shore	TSS1500-shore	chr2:176045969-176046504	NA	NA		rs2195995	
cg05441864	X	108976893	F	II	ACSL4	TSS1500	island	TSS1500-island	chrX:108976162-108976894	NA	NA			
cg05460965	6	36645100	F	II	CDKN1A	TSS1500	shore	TSS1500-shore	chr6:36646244-36648465	NA	TRUE			
cg05729581	11	3078854	F	II	CARS	TSS200	island	TSS200-island	chr11:3078142-3078984	NA	NA		rs384490	
cg05759269	6	36646253	R	II	CDKN1A	TSS1500	island	TSS1500-island	chr6:36646244-36648465	NA	NA			
cg05800928	7	75931781	F	I	HSPB1	TSS200	island	TSS200-island	chr7:75931704-75932978	NA	NA		rs7457776	
cg05958050	16	56703400	R	II	MT1G	TSS1500	island	TSS1500-island	chr16:56703387-56703648	NA	NA			
cg06454326	8	146018061	F	II	RPL8	TSS1500	island	TSS1500-island	chr8:146016927-146018664	NA	NA			
cg06574813	12	56694192	F	I	CS	TSS200	island	TSS200-island	chr12:56693680-56694345	NA	NA			
cg06682402	10	51565087	F	II	NCOA4	TSS200	island	TSS200-island	chr10:51565071-51565648	NA	NA			
cg06822229	X	108976856	F	II	ACSL4	TSS1500	island	TSS1500-island	chrX:108976162-108976894	NA	NA			
cg06860721	10	51564909	R	II	NCOA4	TSS200	shore	TSS200-shore	chr10:51565071-51565648	NA	NA			
cg07057744	17	4545074	R	II	ALOX15	TSS200	shore	TSS200-shore	chr17:4542715-4544934	NA	NA			
cg07333046	10	51572323	R	II	NCOA4	TSS200	island	TSS200-island	chr10:51572198-51572620	TRUE	NA			
cg07380405	12	7126460	R	II	LPCAT3	TSS1500	shore	TSS1500-shore	chr12:7125534-7126356	NA	NA			
cg07571951	7	75931608	R	II	HSPB1	TSS1500	shore	TSS1500-shore	chr7:75931704-75932978	NA	NA			
