"","gene_id","eff_length"
"1","ENSG00000000003.13",4535
"2","ENSG00000000005.5",1610
"3","ENSG00000000419.11",1207
"4","ENSG00000000457.12",6883
"5","ENSG00000000460.15",5967
"6","ENSG00000000938.11",3474
"7","ENSG00000000971.14",8145
"8","ENSG00000001036.12",2793
"9","ENSG00000001084.9",8463
"10","ENSG00000001167.13",3811
"11","ENSG00000001460.16",8511
"12","ENSG00000001461.15",9404
"13","ENSG00000001497.15",5589
"14","ENSG00000001561.6",4651
"15","ENSG00000001617.10",4826
"16","ENSG00000001626.13",8517
"17","ENSG00000001629.8",7130
"18","ENSG00000001630.14",4074
"19","ENSG00000001631.13",6204
"20","ENSG00000002016.15",4190
"21","ENSG00000002079.11",6346
"22","ENSG00000002330.12",1708
"23","ENSG00000002549.11",3785
"24","ENSG00000002586.16",3284
"25","ENSG00000002587.8",8166
"26","ENSG00000002726.18",3824
"27","ENSG00000002745.11",3261
"28","ENSG00000002746.13",13965
"29","ENSG00000002822.14",7230
"30","ENSG00000002834.16",7061
"31","ENSG00000002919.13",3606
"32","ENSG00000002933.6",3479
"33","ENSG00000003056.6",3777
"34","ENSG00000003096.12",6983
"35","ENSG00000003137.7",5015
"36","ENSG00000003147.16",4891
"37","ENSG00000003249.12",4791
"38","ENSG00000003393.13",10384
"39","ENSG00000003400.13",7598
"40","ENSG00000003402.18",22529
"41","ENSG00000003436.13",11714
"42","ENSG00000003509.14",3651
"43","ENSG00000003756.15",10368
"44","ENSG00000003987.12",5692
"45","ENSG00000003989.15",7905
"46","ENSG00000004059.9",1871
"47","ENSG00000004139.12",11137
"48","ENSG00000004142.10",2121
"49","ENSG00000004399.11",9738
"50","ENSG00000004455.15",5727
"51","ENSG00000004468.11",6855
"52","ENSG00000004478.7",5180
"53","ENSG00000004487.14",5435
"54","ENSG00000004534.13",7302
"55","ENSG00000004660.13",7424
"56","ENSG00000004700.14",3778
"57","ENSG00000004766.14",9454
"58","ENSG00000004776.10",1722
"59","ENSG00000004777.17",5260
"60","ENSG00000004779.8",1600
"61","ENSG00000004799.7",4519
"62","ENSG00000004809.12",3907
"63","ENSG00000004838.12",4009
"64","ENSG00000004846.15",9257
"65","ENSG00000004848.6",2876
"66","ENSG00000004864.12",3710
"67","ENSG00000004866.17",6742
"68","ENSG00000004897.10",6824
"69","ENSG00000004939.12",5287
"70","ENSG00000004948.12",4042
"71","ENSG00000004961.13",2335
"72","ENSG00000004975.10",5350
"73","ENSG00000005001.8",2387
"74","ENSG00000005007.11",8600
"75","ENSG00000005020.11",5520
"76","ENSG00000005022.5",1500
"77","ENSG00000005059.14",3566
"78","ENSG00000005073.5",2307
"79","ENSG00000005075.14",1355
"80","ENSG00000005100.11",5872
"81","ENSG00000005102.11",2707
"82","ENSG00000005108.14",10929
"83","ENSG00000005156.10",12919
"84","ENSG00000005175.8",5381
"85","ENSG00000005187.10",7822
"86","ENSG00000005189.18",4114
"87","ENSG00000005194.13",3509
"88","ENSG00000005206.15",7130
"89","ENSG00000005238.18",6409
"90","ENSG00000005243.8",1851
"91","ENSG00000005249.11",4318
"92","ENSG00000005302.16",6496
"93","ENSG00000005339.11",15068
"94","ENSG00000005379.14",11354
"95","ENSG00000005381.7",3526
"96","ENSG00000005421.7",2832
"97","ENSG00000005436.12",5465
"98","ENSG00000005448.15",2860
"99","ENSG00000005469.10",4979
"100","ENSG00000005471.14",7494
"101","ENSG00000005483.18",9233
"102","ENSG00000005486.15",2441
"103","ENSG00000005513.9",4432
"104","ENSG00000005700.13",8722
"105","ENSG00000005801.15",5709
"106","ENSG00000005810.16",15945
"107","ENSG00000005812.9",7082
"108","ENSG00000005844.16",6472
"109","ENSG00000005882.10",5481
"110","ENSG00000005884.16",9802
"111","ENSG00000005889.14",9037
"112","ENSG00000005893.14",5526
"113","ENSG00000005961.16",5551
"114","ENSG00000005981.11",4605
"115","ENSG00000006007.10",4416
"116","ENSG00000006015.16",3370
"117","ENSG00000006016.9",3018
"118","ENSG00000006025.10",6572
"119","ENSG00000006042.10",5187
"120","ENSG00000006047.11",4618
"121","ENSG00000006059.3",1287
"122","ENSG00000006062.12",5852
"123","ENSG00000006071.10",6778
"124","ENSG00000006116.3",3088
"125","ENSG00000006118.13",7271
"126","ENSG00000006125.15",7587
"127","ENSG00000006128.10",1888
"128","ENSG00000006194.9",6945
"129","ENSG00000006210.6",5983
"130","ENSG00000006282.18",5337
"131","ENSG00000006283.16",9709
"132","ENSG00000006327.12",1848
"133","ENSG00000006377.10",3449
"134","ENSG00000006432.14",12386
"135","ENSG00000006451.6",3665
"136","ENSG00000006453.12",4798
"137","ENSG00000006459.9",9430
"138","ENSG00000006468.12",9616
"139","ENSG00000006530.14",6547
"140","ENSG00000006534.14",6626
"141","ENSG00000006555.9",6055
"142","ENSG00000006576.15",8646
"143","ENSG00000006606.7",706
"144","ENSG00000006607.12",14413
"145","ENSG00000006611.14",4904
"146","ENSG00000006625.16",1597
"147","ENSG00000006634.6",4583
"148","ENSG00000006638.10",2793
"149","ENSG00000006652.12",7489
"150","ENSG00000006659.11",1079
"151","ENSG00000006695.9",3172
"152","ENSG00000006704.9",6498
"153","ENSG00000006712.13",2668
"154","ENSG00000006715.14",7801
"155","ENSG00000006740.15",9281
"156","ENSG00000006744.17",6345
"157","ENSG00000006747.13",11623
"158","ENSG00000006756.14",7030
"159","ENSG00000006757.10",3441
"160","ENSG00000006788.11",6349
"161","ENSG00000006831.9",5878
"162","ENSG00000006837.10",3057
"163","ENSG00000007001.11",2957
"164","ENSG00000007038.9",1967
"165","ENSG00000007047.13",6668
"166","ENSG00000007062.10",7434
"167","ENSG00000007080.9",1660
"168","ENSG00000007129.16",1922
"169","ENSG00000007168.11",8127
"170","ENSG00000007171.15",4176
"171","ENSG00000007174.16",16980
"172","ENSG00000007202.13",9235
"173","ENSG00000007216.13",3226
"174","ENSG00000007237.17",10100
"175","ENSG00000007255.9",933
"176","ENSG00000007264.12",4141
"177","ENSG00000007306.13",2649
"178","ENSG00000007312.11",2080
"179","ENSG00000007314.10",8247
"180","ENSG00000007341.17",8111
"181","ENSG00000007350.15",3650
"182","ENSG00000007372.19",14782
"183","ENSG00000007376.6",2769
"184","ENSG00000007384.14",4914
"185","ENSG00000007392.15",6176
"186","ENSG00000007402.10",6322
"187","ENSG00000007516.12",6146
"188","ENSG00000007520.3",1243
"189","ENSG00000007541.13",6869
"190","ENSG00000007545.14",8373
"191","ENSG00000007866.17",3046
"192","ENSG00000007908.14",4585
"193","ENSG00000007923.14",5083
"194","ENSG00000007933.11",3463
"195","ENSG00000007944.13",3033
"196","ENSG00000007952.16",2529
"197","ENSG00000007968.6",5457
"198","ENSG00000008018.8",2256
"199","ENSG00000008056.11",3209
"200","ENSG00000008083.12",6015
"201","ENSG00000008086.9",15642
"202","ENSG00000008118.8",2676
"203","ENSG00000008128.21",4701
"204","ENSG00000008130.14",5570
"205","ENSG00000008196.11",6149
"206","ENSG00000008197.4",1856
"207","ENSG00000008226.18",8338
"208","ENSG00000008256.14",5808
"209","ENSG00000008277.13",12199
"210","ENSG00000008282.6",2794
"211","ENSG00000008283.14",5320
"212","ENSG00000008294.19",11963
"213","ENSG00000008300.13",13873
"214","ENSG00000008311.13",4591
"215","ENSG00000008323.14",4260
"216","ENSG00000008324.9",1301
"217","ENSG00000008382.14",2049
"218","ENSG00000008394.11",7440
"219","ENSG00000008405.10",5062
"220","ENSG00000008438.4",720
"221","ENSG00000008441.15",6302
"222","ENSG00000008513.13",8729
"223","ENSG00000008516.15",4126
"224","ENSG00000008517.15",3209
"225","ENSG00000008710.16",18532
"226","ENSG00000008735.13",5901
"227","ENSG00000008838.16",6962
"228","ENSG00000008853.15",6580
"229","ENSG00000008869.10",8206
"230","ENSG00000008952.15",7928
"231","ENSG00000008988.8",3002
"232","ENSG00000009307.14",5778
"233","ENSG00000009335.16",9220
"234","ENSG00000009413.14",12425
"235","ENSG00000009694.12",12896
"236","ENSG00000009709.10",6313
"237","ENSG00000009724.15",4251
"238","ENSG00000009765.13",10362
"239","ENSG00000009780.14",4034
"240","ENSG00000009790.13",7750
"241","ENSG00000009830.10",10012
"242","ENSG00000009844.14",7262
"243","ENSG00000009950.14",4815
"244","ENSG00000009954.9",7053
"245","ENSG00000010017.12",3347
"246","ENSG00000010030.12",2374
"247","ENSG00000010072.14",5906
"248","ENSG00000010165.18",3827
"249","ENSG00000010219.12",7054
"250","ENSG00000010244.15",15834
"251","ENSG00000010256.9",3236
"252","ENSG00000010270.12",4348
"253","ENSG00000010278.10",3299
"254","ENSG00000010282.13",2891
"255","ENSG00000010292.11",6487
"256","ENSG00000010295.18",5203
"257","ENSG00000010310.7",4736
"258","ENSG00000010318.18",3463
"259","ENSG00000010319.5",5011
"260","ENSG00000010322.14",9161
"261","ENSG00000010327.9",10588
"262","ENSG00000010361.12",2950
"263","ENSG00000010379.14",4243
"264","ENSG00000010404.16",9292
"265","ENSG00000010438.15",1664
"266","ENSG00000010539.10",7498
"267","ENSG00000010610.8",4583
"268","ENSG00000010626.13",3054
"269","ENSG00000010671.14",4575
"270","ENSG00000010704.17",5675
"271","ENSG00000010803.15",4447
"272","ENSG00000010810.16",7411
"273","ENSG00000010818.7",9774
"274","ENSG00000010932.14",3602
"275","ENSG00000011007.11",5391
"276","ENSG00000011009.9",2196
"277","ENSG00000011021.20",6938
"278","ENSG00000011028.12",6860
"279","ENSG00000011052.20",1241
"280","ENSG00000011083.7",4391
"281","ENSG00000011105.10",5714
"282","ENSG00000011114.13",11333
"283","ENSG00000011132.10",5556
"284","ENSG00000011143.15",4078
"285","ENSG00000011198.6",3172
"286","ENSG00000011201.9",7132
"287","ENSG00000011243.16",5081
"288","ENSG00000011258.14",7201
"289","ENSG00000011260.12",2721
"290","ENSG00000011275.17",7619
"291","ENSG00000011295.14",5966
"292","ENSG00000011304.15",6883
"293","ENSG00000011332.18",4800
"294","ENSG00000011347.8",5953
"295","ENSG00000011376.8",5393
"296","ENSG00000011405.12",9204
"297","ENSG00000011422.10",4457
"298","ENSG00000011426.9",6012
"299","ENSG00000011451.16",7965
"300","ENSG00000011454.15",9162
"301","ENSG00000011465.15",12847
"302","ENSG00000011478.10",2396
"303","ENSG00000011485.13",7059
"304","ENSG00000011523.12",8623
"305","ENSG00000011566.13",6067
"306","ENSG00000011590.12",2770
