meanImp	medianImp	minImp	maxImp	normHits	decision
cg00008544	2.14457204206331	2.17851539809998	-0.657035432869225	4.26536388974006	0.0981963927855711	Rejected
cg00013006	1.52790237869437	1.61440762642978	-0.31912043790248	3.37183832493956	0.00200400801603206	Rejected
cg00013618	0.87698543266137	1.04346584486036	-2.87713727123667	2.27792448179488	0.00801603206412826	Rejected
cg00014561	4.68788979914253	4.69842489574889	1.83847117667298	6.53587063224336	0.905811623246493	Confirmed
cg00017475	1.50600366643109	1.52016048356923	0.153378129217346	3.42453039231438	0.030060120240481	Rejected
cg00031105	1.0278860090308	0.66455410176127	-1.22786705891954	2.72434701854393	0.00200400801603206	Rejected
cg00032686	3.48453655092363	3.45579303319917	0.555454648218306	5.89932587377349	0.729458917835671	Confirmed
cg00032959	0.977457430694618	1.14972824953371	-1.07622515292953	2.6263255888477	0	Rejected
cg00033304	3.15341376128059	3.19991283223787	0.0932982355232934	6.12961526573737	0.639278557114228	Confirmed
cg00036263	0.535081092056646	0.40073761019478	-1.26062078804381	2.53219428153304	0	Rejected
cg00039564	3.83075013744718	3.87355098703063	1.43909027303439	5.88062834619816	0.777555110220441	Confirmed
cg00040419	3.83059821142983	3.86324953189595	1.36885328614968	6.29518699540232	0.797595190380762	Confirmed
cg00053135	1.00129024165995	0.960665834542641	-0.760077448291297	2.35385490346808	0	Rejected
cg00058009	1.12083883731184	1.1591500079488	-0.120845681867086	2.46444727065525	0.00200400801603206	Rejected
cg00060627	0.83132719064022	0.807381897441764	-0.832121199987551	2.87525770351035	0.00200400801603206	Rejected
cg00099976	1.06635074501625	1.24699051709784	-0.220036112219263	2.33448564254703	0	Rejected
cg00102512	2.86147559268005	2.90330949589394	0.147651230462516	5.58326596695708	0.575150300601202	Tentative
cg00109776	1.76487786543756	1.71452298657879	0.949887673406669	2.68598291686074	0.00200400801603206	Rejected
cg00113020	3.26870322706637	3.32428936162437	0.0693750057507661	5.28890473718559	0.675350701402806	Confirmed
cg00113623	3.71675304667975	3.70750983766917	1.4472236084296	5.96295493967527	0.75751503006012	Confirmed
cg00114618	1.64078296611036	1.71383707277169	-0.113908590927075	2.96504432955576	0.00200400801603206	Rejected
cg00115040	3.64486796981267	3.63845007372793	-0.00360380488108062	6.25428167070391	0.745490981963928	Confirmed
cg00121876	5.06642330707372	5.12368729438055	1.80430372010048	7.09559717063574	0.93186372745491	Confirmed
cg00124045	2.37587094490974	2.43862947685753	-0.855960895165732	4.96971247479601	0.42685370741483	Tentative
cg00127150	8.1411170025078	8.19684762142992	5.7000111652665	9.89529155613841	1	Confirmed
cg00128425	1.10849780520894	0.974955084254961	0.112282349023219	2.22632548306807	0.00200400801603206	Rejected
cg00133811	0.868586633294705	1.03239721775252	-1.07983921799567	2.18596262370364	0	Rejected
cg00134728	2.01474710277399	1.95041318001041	-0.549065124076803	3.97072895251106	0.0501002004008016	Rejected
cg00139242	6.05249339825217	6.08570555910339	3.24693421225352	8.23765177203436	0.973947895791583	Confirmed
cg00139683	2.10787497759662	2.28770188135942	-0.260847225460946	3.70684323276219	0.0140280561122244	Rejected
cg00142925	6.55795611203261	6.59862265172633	4.00266991932227	8.95217951726178	0.983967935871743	Confirmed
cg00145438	1.41238081429873	1.42130697753003	0.472302095754609	2.55895040549538	0	Rejected
cg00145969	1.13863042657933	1.30317100411746	-0.752513282917893	2.82608877545529	0	Rejected
cg00148867	0.756120606520935	0.762282423984207	-0.5783001442668	2.39530481914724	0	Rejected
cg00151250	4.04986763150808	4.08436384755588	0.6957138254412	6.45899869228877	0.811623246492986	Confirmed
cg00155846	1.17806940040994	1.27630599515696	-0.489526715233603	2.70758550118546	0.00200400801603206	Rejected
cg00156669	0.692669076168956	0.817732335059365	-1.23097428963548	2.32649160016507	0	Rejected
cg00157016	3.11069625700652	3.13171413564426	0.3684407472268	5.63931340695478	0.635270541082164	Confirmed
cg00160981	2.89572451174667	2.97800387018781	-0.334255087984237	5.73027763598628	0.581162324649299	Confirmed
cg00162862	4.4693017907549	4.51098288602905	1.7204352036167	7.59678975125742	0.869739478957916	Confirmed
cg00164217	1.20117081267336	1.10914008042369	0.121077901639853	2.86769875822801	0.00200400801603206	Rejected
cg00164500	1.17326189163585	1.34130320073088	-0.0672337898999529	2.40038192580779	0	Rejected
cg00168009	3.98510730767793	3.99883962874931	0.777824221074077	6.45327764681523	0.801603206412826	Confirmed
cg00168942	2.07272441794151	2.18354401553476	-0.567388251577713	3.5110492375481	0.00200400801603206	Rejected
cg00171565	6.04260469120019	6.08087029933892	3.46810362773929	8.39730460735133	0.971943887775551	Confirmed
cg00176672	1.25117841073012	1.19361812962151	-0.178373845727239	2.28721646885304	0	Rejected
cg00186529	1.20451468540263	1.29829001743762	-0.0897527345309032	2.23776903474765	0	Rejected
cg00188032	0.95988971099988	1.12462656637665	-0.58553564033964	3.29390131920923	0	Rejected
cg00192750	0.366640090491497	0.504423339262622	-1.14497253016449	1.51894559432842	0	Rejected
cg00197191	2.67320099356388	2.72171938907933	-0.13560588895515	4.93350081183761	0.529058116232465	Tentative
