Type,Shape,Chr,Start,End,color
tRNA,circle,6,69204486,69204568,6a3d9a
rRNA,box,3,68882967,68883091,33a02c
rRNA,box,5,55777469,55777587,33a02c
rRNA,box,21,25202207,25202315,33a02c
miRNA,triangle,1,86357632,86357687,ff7f00
miRNA,triangle,11,74399237,74399333,ff7f00
miRNA,triangle,15,23562062,23562131,ff7f00
miRNA,triangle,18,48670600,48670668,ff7f00
miRNA,triangle,19,10817426,10817496,ff7f00
rRNA,box,1,159178473,159178559,33a02c
miRNA,triangle,2,87194786,87194859,ff7f00
miRNA,triangle,7,19705358,19705436,ff7f00
miRNA,triangle,8,124508515,124508576,ff7f00
miRNA,triangle,9,35608094,35608159,ff7f00
miRNA,triangle,11,47400970,47401042,ff7f00
miRNA,triangle,16,24203116,24203231,ff7f00
miRNA,triangle,X,53198889,53198945,ff7f00
tRNA,circle,11,122559947,122560019,6a3d9a
rRNA,box,3,37341649,37341766,33a02c
rRNA,box,4,166053187,166053287,33a02c
rRNA,box,10,48040462,48040577,33a02c
miRNA,triangle,3,48633636,48633698,ff7f00
miRNA,triangle,8,130008334,130008453,ff7f00
miRNA,triangle,9,36864254,36864308,ff7f00
miRNA,triangle,11,59595077,59595158,ff7f00
miRNA,triangle,11,88176502,88176593,ff7f00
miRNA,triangle,13,96427229,96427292,ff7f00
miRNA,triangle,15,75353611,75353685,ff7f00
tRNA,circle,1,145168412,145168483,6a3d9a
rRNA,box,1,77614869,77614952,33a02c
rRNA,box,11,14134986,14135100,33a02c
miRNA,triangle,1,198859044,198859153,ff7f00
miRNA,triangle,4,159128805,159128891,ff7f00
miRNA,triangle,6,31633787,31633858,ff7f00
miRNA,triangle,6,131792172,131792231,ff7f00
miRNA,triangle,6,135239160,135239256,ff7f00
miRNA,triangle,8,144317246,144317315,ff7f00
miRNA,triangle,13,51348567,51348639,ff7f00
miRNA,triangle,15,70079372,70079468,ff7f00
miRNA,triangle,16,18402178,18402271,ff7f00
miRNA,triangle,17,37614931,37615039,ff7f00
miRNA,triangle,19,44653686,44653732,ff7f00
miRNA,triangle,20,2652777,2652842,ff7f00
rRNA,box,3,137518134,137518255,33a02c
rRNA,box,10,68461407,68461525,33a02c
rRNA,box,11,21383801,21383909,33a02c
rRNA,box,12,131661063,131661174,33a02c
miRNA,triangle,3,159282646,159282734,ff7f00
miRNA,triangle,15,51314032,51314107,ff7f00
miRNA,triangle,15,101973524,101973591,ff7f00
