gs_name	entrez_gene
term1	4312
term1	8318
term1	10874
term1	55143
term1	55388
term1	991
term1	6280
term1	2305
term1	9493
term1	1062
term1	3868
term1	4605
term1	9833
term1	9133
term1	6279
term1	10403
term1	8685
term1	597
term1	7153
term1	23397
term1	9394
term1	55867
term1	23288
term1	7837
term1	10171
term1	4825
term1	9739
term1	9022
term1	63898
term1	659
term1	5468
term1	81552
term1	57154
term1	348995
term1	23396
term1	55578
term1	55612
term1	29775
term1	55521
term1	387535
term1	23435
term1	3119
term1	28974
term1	51318
term1	84079
term1	3608
term1	51332
term1	9427
term1	10421
term1	79716
term2	10351
term2	2330
term2	5304
term2	79846
term2	8614
term2	2625
term2	7021
term2	7802
term2	79689
term2	11122
term2	55351
term2	9
term2	4239
term2	5241
term2	10551
term2	10974
term2	79838
term2	79901
term2	57758
term2	4969
term2	9182
term2	5802
term2	3357
term2	526
term2	55662
term2	1232
term2	55454
term2	57097
term2	3224
term2	680
term2	10581
term2	4102
term2	2914
term2	8568
term2	3936
term2	60528
term2	9389
term2	3693
term2	2051
term2	8925
term2	55299
term2	92856
term2	5927
term2	3758
term2	90379
term2	8468
term2	55760
term2	9453
term2	4327
term2	51043
